['258', '211', '170', '281', '63', '608']
['513', '241', '139', '503', '361', '675']
['667', '591', '140', '183', '198', '463']
['247', '79', '703', '447', '107', '442']
['245', '357', '522', '626', '547', '668']
['130', '602', '95', '51', '366', '294']
['649', '226', '135', '548', '499', '39']
['325', '163', '481', '523', '531', '586']
['582', '303', '85', '494', '488', '54']
['20', '292', '119', '677', '666', '624']
['461', '604', '68', '181', '328', '378']
['78', '516', '10', '581', '574', '321']
['407', '277', '712', '412', '28', '91']
['601', '324', '529', '136', '238', '398']
['569', '637', '391', '718', '59', '424']
['162', '301', '613', '443', '483', '87']
['104', '12', '717', '634', '27', '465']
['262', '188', '1', '348', '588', '440']
['456', '594', '329', '38', '658', '118']
['316', '122', '90', '454', '682', '282']
['560', '364', '419', '34', '460', '535']
['504', '201', '680', '333', '13', '274']
['187', '633', '578', '251', '270', '323']
['537', '615', '645', '330', '288', '414']
['496', '648', '550', '102', '160', '123']
['390', '304', '408', '261', '199', '369']
['387', '353', '143', '257', '558', '489']
['618', '444', '216', '492', '446', '506']
['227', '694', '376', '126', '132', '315']
['175', '194', '103', '156', '171', '134']
['373', '614', '40', '510', '572', '530']
['383', '417', '355', '551', '16', '538']
['349', '111', '375', '342', '207', '150']
['525', '331', '284', '589', '707', '337']
['70', '433', '379', '128', '611', '55']
['326', '155', '6', '453', '486', '116']
['31', '73', '500', '283', '32', '669']
['42', '469', '131', '115', '425', '154']
['96', '117', '47', '268', '249', '585']
['62', '101', '620', '149', '153', '296']
['74', '691', '565', '271', '298', '193']
['421', '26', '230', '452', '656', '293']
['406', '29', '671', '559', '598', '200']
['568', '660', '678', '498', '137', '505']
['308', '372', '654', '650', '631', '619']
['603', '659', '339', '556', '48', '77']
['485', '431', '509', '320', '700', '254']
['382', '415', '30', '235', '345', '215']
['579', '186', '459', '687', '204', '246']
['343', '596', '638', '295', '606', '635']
['396', '623', '517', '43', '192', '164']
['7', '543', '314', '110', '71', '299']
['437', '218', '233', '542', '83', '587']
['573', '710', '394', '346', '607', '693']
['228', '209', '599', '229', '699', '52']
['672', '533', '344', '203', '410', '432']
['450', '272', '661', '363', '641', '467']
['335', '287', '49', '472', '418', '597']
['527', '445', '562', '428', '121', '205']
['552', '570', '521', '429', '698', '220']
['365', '225', '352', '402', '563', '289']
['221', '8', '15', '359', '259', '371']
['69', '426', '76', '709', '612', '25']
['676', '81', '141', '448', '388', '313']
['65', '647', '584', '185', '165', '532']
['44', '202', '250', '105', '174', '590']
['347', '151', '427', '23', '518', '549']
['416', '653', '399', '564', '307', '511']
['351', '512', '318', '644', '438', '413']
['236', '701', '190', '291', '0', '609']
['545', '441', '462', '643', '169', '468']
['593', '395', '4', '555', '487', '58']
['322', '439', '146', '80', '224', '386']
['393', '210', '389', '98', '360', '279']
['50', '280', '354', '88', '491', '22']
['435', '696', '2', '651', '240', '305']
['36', '53', '276', '212', '5', '60']
['129', '97', '145', '173', '688', '567']
['18', '302', '56', '86', '474', '403']
['715', '11', '705', '384', '405', '106']
['575', '290', '528', '561', '17', '477']
['253', '524', '683', '713', '622', '409']
['595', '269', '493', '662', '576', '475']
['681', '72', '566', '35', '689', '340']
['152', '665', '434', '464', '621', '616']
['685', '628', '327', '625', '239', '172']
['113', '404', '312', '157', '652', '100']
['178', '526', '466', '109', '57', '411']
['716', '334', '592', '310', '243', '206']
['664', '690', '520', '508', '232', '311']
['219', '686', '673', '124', '553', '541']
['458', '657', '436', '61', '338', '605']
['21', '89', '108', '182', '706', '265']
['244', '120', '223', '482', '64', '189']
['540', '697', '213', '99', '515', '400']
['66', '148', '629', '46', '231', '381']
['507', '714', '82', '571', '92', '367']
['309', '646', '502', '237', '627', '636']
['380', '479', '350', '711', '642', '168']
['497', '37', '127', '41', '679', '362']
['167', '242', '266', '273', '24', '114']
['356', '138', '449', '166', '248', '519']
['133', '684', '655', '147', '19', '536']
['125', '702', '557', '252', '420', '377']
['476', '630', '159', '286', '94', '514']
['208', '617', '719', '217', '385', '546']
['255', '554', '306', '158', '674', '639']
['455', '392', '358', '9', '370', '501']
['470', '451', '577', '45', '67', '480']
['256', '112', '263', '197', '297', '332']
['191', '176', '422', '583', '610', '473']
['285', '495', '423', '457', '632', '319']
['374', '544', '692', '534', '397', '144']
['180', '161', '640', '708', '368', '84']
['275', '300', '184', '3', '317', '600']
['278', '430', '214', '93', '234', '539']
['663', '222', '14', '264', '75', '704']
['695', '341', '484', '177', '478', '33']
['195', '260', '142', '580', '267', '471']
['670', '336', '196', '490', '401', '179']
