['513', '969', '560', '102', '26', '125', '384']
['469', '248', '436', '347', '194', '631', '533']
['496', '80', '135', '494', '697', '300', '744']
['146', '736', '583', '820', '596', '577', '193']
['701', '228', '54', '921', '434', '100', '854']
['28', '51', '411', '0', '654', '883', '723']
['334', '690', '134', '943', '812', '675', '506']
['140', '201', '866', '777', '964', '875', '859']
['571', '340', '499', '92', '407', '142', '960']
['968', '467', '757', '864', '199', '916', '512']
['568', '905', '837', '671', '604', '585', '400']
['406', '877', '717', '510', '493', '773', '233']
['900', '429', '909', '653', '532', '84', '890']
['426', '722', '550', '14', '153', '269', '111']
['730', '441', '538', '945', '584', '290', '607']
['424', '487', '516', '709', '614', '935', '471']
['423', '628', '124', '165', '109', '44', '143']
['789', '892', '70', '725', '952', '791', '904']
['962', '695', '52', '283', '742', '509', '856']
['238', '845', '931', '766', '732', '460', '807']
['632', '879', '711', '138', '67', '318', '680']
['372', '232', '182', '49', '712', '5', '245']
['708', '517', '836', '851', '638', '98', '225']
['507', '784', '556', '667', '610', '492', '477']
['354', '738', '489', '335', '966', '527', '121']
['874', '256', '790', '544', '498', '915', '922']
['566', '78', '600', '42', '338', '823', '679']
['815', '342', '678', '1', '175', '863', '60']
['276', '313', '715', '570', '526', '688', '705']
['559', '73', '582', '572', '215', '309', '947']
['478', '524', '470', '312', '758', '76', '246']
['101', '374', '279', '938', '89', '306', '432']
['197', '273', '965', '707', '72', '747', '587']
['393', '311', '594', '850', '321', '704', '876']
['359', '692', '575', '31', '427', '41', '528']
['867', '120', '428', '184', '799', '543', '641']
['792', '622', '482', '932', '418', '317', '304']
['829', '698', '7', '154', '803', '316', '392']
['891', '617', '87', '537', '802', '776', '928']
['827', '716', '254', '929', '234', '658', '302']
['599', '137', '9', '110', '282', '281', '767']
['203', '491', '420', '417', '775', '691', '449']
['462', '838', '145', '370', '297', '886', '402']
['719', '683', '785', '862', '35', '196', '242']
['127', '382', '475', '772', '185', '251', '398']
['557', '630', '289', '912', '972', '534', '619']
['325', '191', '779', '824', '853', '322', '547']
['842', '752', '501', '644', '430', '545', '954']
['131', '618', '706', '476', '684', '841', '623']
['731', '230', '486', '828', '787', '458', '950']
['908', '970', '10', '385', '156', '435', '650']
['672', '781', '586', '664', '924', '97', '646']
['519', '383', '148', '826', '833', '958', '451']
['440', '733', '344', '355', '598', '247', '753']
['902', '852', '555', '274', '651', '540', '348']
['768', '818', '713', '452', '894', '95', '173']
['260', '284', '685', '401', '746', '694', '332']
['362', '116', '178', '893', '495', '179', '814']
['682', '409', '450', '239', '255', '508', '535']
['751', '573', '737', '511', '885', '75', '605']
['206', '403', '106', '39', '164', '219', '839']
['218', '180', '431', '472', '410', '381', '783']
['413', '629', '741', '195', '801', '388', '590']
['597', '831', '611', '639', '133', '647', '868']
['832', '190', '105', '710', '361', '858', '367']
['615', '224', '380', '562', '806', '366', '525']
['90', '518', '22', '147', '937', '43', '878']
['703', '241', '415', '531', '36', '453', '484']
['139', '946', '405', '38', '396', '643', '56']
['897', '33', '606', '249', '770', '942', '949']
['734', '505', '655', '455', '786', '324', '593']
['128', '53', '514', '59', '760', '957', '368']
['936', '176', '521', '280', '422', '285', '352']
['621', '739', '298', '687', '323', '899', '825']
['745', '291', '771', '963', '515', '442', '840']
['118', '205', '592', '270', '563', '19', '192']
['726', '27', '29', '63', '754', '204', '167']
['258', '303', '782', '925', '542', '221', '315']
['211', '834', '266', '673', '816', '769', '504']
['567', '564', '244', '419', '181', '882', '17']
['358', '720', '336', '699', '822', '456', '62']
['391', '917', '129', '2', '755', '99', '210']
['379', '591', '301', '12', '212', '522', '872']
['971', '750', '896', '343', '633', '749', '855']
['93', '967', '788', '662', '55', '337', '21']
['907', '895', '96', '349', '445', '446', '561']
['378', '609', '69', '231', '23', '169', '847']
['267', '941', '473', '16', '158', '457', '848']
['259', '569', '649', '918', '223', '330', '808']
['351', '437', '793', '79', '479', '939', '656']
['40', '444', '795', '474', '326', '214', '376']
['481', '642', '581', '45', '871', '846', '888']
['887', '91', '261', '202', '66', '677', '696']
['24', '34', '906', '48', '308', '123', '399']
['186', '602', '263', '635', '32', '636', '640']
['389', '168', '8', '112', '448', '681', '155']
['910', '86', '588', '956', '331', '222', '150']
['130', '240', '77', '329', '608', '657', '209']
['714', '310', '468', '574', '187', '107', '262']
['162', '523', '163', '104', '626', '669', '485']
['676', '940', '483', '549', '71', '735', '541']
['857', '161', '268', '286', '373', '552', '149']
['265', '761', '536', '580', '264', '843', '861']
['944', '497', '333', '119', '748', '257', '217']
['375', '648', '959', '229', '835', '113', '94']
['951', '65', '278', '463', '299', '645', '404']
['465', '208', '780', '226', '502', '397', '920']
['438', '870', '30', '160', '881', '253', '620']
['414', '466', '353', '488', '578', '307', '805']
['115', '652', '157', '151', '860', '576', '778']
['844', '797', '364', '800', '661', '295', '13']
['454', '759', '889', '948', '660', '898', '11']
['613', '172', '702', '369', '774', '520', '718']
['911', '670', '365', '865', '183', '439', '394']
['327', '18', '849', '277', '539', '292', '132']
['166', '579', '136', '930', '144', '817', '83']
['616', '461', '46', '794', '345', '305', '819']
['319', '634', '873', '700', '686', '152', '459']
['47', '390', '529', '341', '250', '500', '763']
['189', '546', '589', '74', '830', '287', '57']
['386', '724', '200', '740', '171', '81', '416']
['961', '809', '174', '207', '693', '443', '665']
['554', '762', '934', '15', '346', '216', '188']
['252', '810', '58', '377', '220', '360', '727']
['159', '50', '927', '926', '869', '565', '721']
['288', '953', '293', '903', '764', '743', '371']
['880', '236', '666', '64', '356', '955', '480']
['170', '408', '213', '674', '490', '122', '412']
['821', '923', '82', '85', '4', '804', '553']
['25', '447', '271', '294', '117', '796', '601']
['663', '339', '551', '103', '235', '88', '558']
['627', '765', '625', '548', '314', '913', '728']
['919', '756', '933', '350', '798', '177', '6']
['595', '61', '637', '237', '624', '387', '114']
['68', '395', '813', '464', '603', '668', '108']
['320', '227', '659', '884', '20', '357', '296']
['914', '612', '689', '328', '421', '243', '272']
['433', '811', '530', '503', '198', '275', '126']
['363', '3', '141', '901', '425', '729', '37']
[]
[]
[]
[]
