['286', '20', '910', '385', '550', '143', '583', '162', '608', '768', '818', '130', '669', '778', '810', '49', '115', '104', '74', '589', '255', '942', '574', '547', '596', '555', '500', '599', '134', '163', '680']
['699', '666', '123', '662', '423', '144', '336', '932', '294', '691', '616', '606', '97', '323', '211', '207', '248', '629', '198', '188', '192', '465', '13', '553', '920', '43', '786', '749', '337', '263', '622']
['129', '618', '693', '363', '221', '355', '839', '743', '278', '793', '592', '219', '788', '349', '430', '113', '55', '937', '748', '775', '234', '517', '140', '651', '687', '93', '836', '292', '191', '19', '684']
['908', '4', '779', '299', '122', '899', '351', '946', '424', '544', '747', '921', '72', '516', '393', '884', '53', '869', '855', '639', '334', '892', '916', '603', '185', '960', '341', '195', '762', '272', '346']
['576', '799', '814', '685', '883', '481', '291', '69', '486', '270', '280', '446', '785', '112', '853', '127', '266', '439', '300', '649', '506', '646', '728', '432', '536', '601', '557', '950', '479', '551', '51']
['233', '109', '87', '880', '760', '733', '894', '410', '789', '225', '101', '925', '82', '930', '179', '454', '614', '688', '166', '343', '297', '548', '236', '319', '67', '668', '202', '914', '81', '569', '302']
['254', '640', '68', '658', '390', '27', '709', '408', '888', '329', '939', '714', '886', '180', '103', '170', '212', '735', '654', '512', '91', '490', '305', '237', '727', '94', '312', '450', '152', '145', '828']
['350', '252', '897', '222', '215', '510', '737', '610', '876', '758', '875', '246', '560', '584', '23', '480', '879', '794', '326', '24', '777', '116', '10', '360', '631', '527', '318', '57', '878', '830', '426']
['463', '373', '952', '594', '398', '677', '538', '843', '381', '620', '532', '958', '857', '819', '815', '736', '257', '467', '303', '539', '915', '904', '935', '66', '697', '60', '402', '418', '146', '468', '860']
['395', '580', '339', '428', '841', '573', '253', '545', '751', '296', '554', '28', '274', '416', '285', '650', '279', '761', '491', '128', '856', '29', '706', '922', '316', '704', '824', '70', '533', '258', '943']
['277', '187', '591', '375', '716', '452', '643', '607', '615', '177', '354', '515', '929', '102', '75', '872', '734', '63', '133', '256', '458', '540', '111', '379', '83', '702', '627', '78', '700', '826', '438']
['114', '196', '528', '887', '309', '229', '488', '76', '338', '377', '757', '125', '12', '461', '9', '453', '251', '809', '388', '644', '38', '317', '711', '308', '634', '244', '494', '802', '298', '913', '232']
['586', '659', '210', '79', '718', '396', '293', '472', '559', '16', '934', '142', '231', '340', '206', '752', '411', '216', '660', '444', '407', '831', '35', '466', '862', '14', '501', '641', '44', '791', '165']
['827', '881', '703', '956', '61', '106', '201', '505', '1', '508', '626', '513', '39', '30', '863', '780', '579', '859', '720', '731', '817', '578', '290', '58', '655', '919', '169', '562', '504', '370', '442']
['474', '0', '575', '378', '380', '118', '220', '522', '732', '153', '561', '771', '217', '653', '564', '459', '223', '273', '612', '327', '348', '673', '249', '155', '324', '772', '671', '110', '628', '854', '194']
['161', '902', '260', '330', '460', '741', '765', '434', '849', '511', '90', '667', '267', '344', '230', '369', '21', '492', '313', '800', '604', '776', '593', '406', '948', '404', '582', '358', '493', '945', '322']
['80', '429', '566', '581', '96', '7', '365', '154', '353', '382', '275', '698', '858', '22', '174', '587', '947', '483', '182', '374', '541', '524', '895', '141', '664', '301', '8', '42', '304', '944', '73']
['726', '928', '585', '464', '738', '900', '556', '837', '400', '392', '175', '514', '99', '209', '367', '864', '168', '840', '85', '822', '86', '415', '427', '226', '730', '228', '138', '721', '534', '955', '435']
['469', '150', '764', '847', '745', '288', '816', '648', '933', '352', '767', '455', '852', '240', '325', '6', '805', '359', '759', '781', '15', '588', '845', '462', '820', '637', '287', '866', '565', '45', '833']
['729', '394', '495', '813', '384', '345', '770', '672', '865', '715', '421', '214', '695', '477', '445', '957', '158', '674', '422', '701', '368', '868', '549', '485', '552', '333', '295', '437', '478', '621', '531']
['675', '891', '882', '753', '632', '911', '763', '542', '605', '311', '167', '577', '870', '798', '164', '896', '846', '821', '151', '742', '37', '357', '391', '719', '707', '832', '284', '635', '723', '131', '401']
['825', '65', '923', '755', '838', '347', '498', '399', '148', '638', '842', '172', '783', '931', '889', '417', '425', '71', '867', '335', '160', '773', '200', '795', '262', '259', '740', '647', '189', '306', '829']
