['619', '768', '325', '524', '505', '530', '399', '456', '36', '512', '576', '370', '342', '612', '314', '754', '335', '227', '236', '644', '221', '771', '48', '564', '332', '613', '120', '668', '419', '128', '665', '148']
['513', '794', '44', '417', '29', '241', '307', '521', '28', '250', '214', '41', '91', '39', '686', '182', '725', '506', '657', '88', '650', '661', '185', '197', '253', '377', '793', '328', '769', '286', '699', '71']
['660', '299', '571', '251', '403', '443', '110', '466', '252', '355', '565', '579', '752', '394', '243', '3', '353', '777', '427', '616', '535', '282', '772', '82', '73', '561', '46', '798', '447', '632', '454', '334']
['497', '210', '22', '373', '53', '235', '162', '16', '40', '321', '61', '260', '357', '528', '189', '775', '362', '279', '721', '523', '192', '145', '414', '52', '387', '501', '132', '568', '740', '767', '42', '124']
['289', '592', '645', '755', '293', '687', '401', '559', '121', '527', '606', '562', '655', '551', '753', '200', '694', '640', '303', '744', '646', '291', '704', '465', '651', '130', '428', '18', '631', '216', '173', '688']
['84', '490', '712', '598', '584', '648', '112', '435', '594', '322', '529', '379', '229', '622', '285', '338', '348', '630', '38', '471', '495', '358', '152', '649', '232', '169', '779', '54', '532', '732', '590', '103']
['170', '682', '782', '486', '494', '638', '480', '739', '573', '205', '489', '438', '154', '531', '193', '371', '723', '155', '50', '344', '287', '463', '799', '69', '99', '21', '11', '600', '398', '302', '180', '270']
['37', '308', '778', '230', '421', '652', '126', '507', '729', '319', '245', '17', '66', '249', '247', '389', '791', '458', '313', '281', '666', '641', '361', '190', '601', '555', '134', '449', '278', '309', '320', '553']
['363', '484', '445', '248', '213', '789', '581', '709', '234', '118', '452', '144', '693', '748', '368', '7', '78', '239', '618', '610', '5', '159', '311', '705', '669', '554', '265', '460', '473', '671', '444', '187']
['63', '67', '703', '509', '317', '324', '496', '45', '418', '515', '662', '787', '225', '255', '420', '461', '423', '102', '147', '166', '525', '759', '111', '231', '692', '700', '642', '349', '781', '283', '10', '589']
['184', '761', '543', '206', '228', '522', '406', '294', '244', '161', '628', '390', '94', '186', '508', '647', '790', '637', '569', '470', '77', '552', '58', '545', '181', '198', '96', '242', '742', '770', '165', '199']
['715', '542', '49', '702', '583', '333', '47', '34', '696', '479', '708', '658', '346', '617', '178', '75', '749', '620', '738', '597', '442', '516', '90', '136', '292', '275', '750', '115', '123', '315', '140', '341']
['223', '706', '114', '149', '574', '158', '164', '331', '595', '478', '105', '350', '730', '577', '416', '284', '80', '727', '537', '407', '386', '482', '340', '19', '191', '736', '272', '113', '451', '518', '760', '604']
['797', '397', '203', '400', '9', '557', '106', '133', '217', '603', '504', '625', '85', '179', '698', '98', '585', '385', '32', '330', '719', '457', '602', '93', '538', '238', '301', '233', '290', '492', '500', '485']
['380', '572', '431', '607', '566', '268', '176', '393', '667', '143', '726', '404', '372', '546', '365', '756', '171', '796', '475', '514', '364', '24', '795', '127', '226', '560', '716', '51', '757', '156', '312', '211']
['151', '204', '615', '68', '266', '375', '453', '533', '412', '472', '629', '464', '680', '517', '510', '296', '539', '469', '776', '388', '491', '109', '511', '280', '25', '487', '369', '219', '673', '587', '163', '711']
['621', '462', '672', '676', '56', '635', '8', '146', '207', '735', '746', '441', '477', '498', '277', '174', '526', '264', '502', '786', '261', '384', '724', '13', '20', '391', '72', '580', '209', '468', '467', '411']
['104', '556', '304', '135', '246', '653', '27', '378', '520', '87', '536', '298', '675', '81', '35', '329', '689', '731', '345', '194', '567', '611', '89', '734', '395', '288', '439', '383', '550', '643', '95', '627']
['493', '172', '79', '593', '785', '125', '352', '547', '57', '160', '150', '691', '202', '405', '256', '55', '765', '422', '215', '2', '639', '139', '599', '273', '448', '624', '6', '437', '141', '596', '23', '381']
['177', '747', '743', '356', '138', '681', '196', '434', '792', '107', '783', '263', '626', '0', '137', '710', '558', '575', '450', '426', '59', '142', '534', '392', '258', '402', '14', '116', '300', '690', '784', '31']
['608', '684', '713', '167', '674', '591', '586', '774', '758', '728', '677', '64', '183', '563', '413', '188', '766', '83', '316', '212', '656', '62', '745', '224', '97', '685', '86', '654', '499', '240', '408', '76']
['409', '410', '122', '503', '474', '65', '339', '446', '432', '318', '305', '175', '351', '327', '92', '30', '262', '695', '269', '360', '541', '376', '664', '762', '459', '382', '33', '257', '367', '108', '634', '741']
['168', '429', '717', '678', '131', '570', '609', '633', '70', '430', '733', '605', '440', '549', '764', '578', '623', '12', '415', '544', '436', '582', '74', '336', '701', '1', '488', '119', '306', '707', '201', '697']
['659', '722', '276', '60', '237', '425', '43', '153', '483', '337', '26', '15', '218', '101', '343', '683', '424', '455', '481', '195', '366', '540', '374', '396', '751', '271', '129', '720', '157', '354', '679', '222']
['274', '519', '259', '548', '737', '208', '310', '359', '773', '718', '254', '433', '117', '780', '788', '295', '323', '4', '326', '663', '614', '670', '267', '297', '636', '763', '714', '220', '476', '347', '588', '100']
