['548', '802', '598']
['372', '270', '823']
['192', '946', '330']
['694', '338', '621']
['761', '782', '991']
['600', '758', '142']
['324', '285', '966']
['205', '559', '818']
['563', '976', '267']
['604', '295', '916']
['942', '769', '210']
['831', '51', '122']
['588', '635', '532']
['773', '836', '46']
['708', '905', '345']
['656', '160', '956']
['463', '236', '102']
['173', '622', '434']
['76', '199', '510']
['614', '722', '181']
['447', '631', '212']
['321', '289', '164']
['752', '775', '61']
['143', '573', '25']
['558', '191', '639']
['645', '952', '115']
['700', '419', '421']
['919', '744', '506']
['583', '103', '303']
['847', '901', '589']
['571', '165', '489']
['466', '155', '517']
['562', '64', '409']
['13', '963', '755']
['170', '797', '146']
['808', '49', '388']
['80', '332', '3']
['415', '448', '867']
['922', '647', '658']
['179', '344', '327']
['951', '154', '278']
['259', '733', '629']
['23', '245', '156']
['760', '221', '411']
['675', '465', '377']
['113', '126', '37']
['131', '111', '63']
['495', '684', '226']
['262', '119', '140']
['9', '586', '841']
['644', '961', '200']
['428', '872', '374']
['71', '544', '38']
['729', '53', '655']
['945', '264', '609']
['475', '167', '78']
['227', '45', '552']
['220', '291', '590']
['34', '361', '7']
['272', '183', '351']
['820', '778', '242']
['651', '319', '95']
['228', '974', '878']
['114', '301', '26']
['261', '535', '177']
['467', '710', '618']
['214', '981', '106']
['311', '660', '296']
['914', '105', '931']
['100', '986', '799']
['273', '186', '125']
['649', '817', '152']
['790', '637', '380']
['153', '392', '687']
['474', '971', '417']
['493', '890', '717']
['30', '677', '383']
['487', '215', '845']
['33', '56', '842']
['403', '727', '28']
['962', '917', '908']
['934', '435', '731']
['69', '860', '665']
['286', '481', '854']
['240', '894', '953']
['813', '357', '263']
['766', '730', '578']
['888', '683', '754']
['425', '469', '918']
['36', '511', '868']
['445', '927', '73']
['129', '840', '620']
['783', '685', '696']
['585', '669', '503']
['821', '728', '819']
['490', '50', '926']
['288', '929', '471']
['57', '299', '935']
['194', '364', '900']
['549', '18', '653']
['247', '950', '809']
['587', '459', '252']
['159', '145', '873']
['680', '141', '422']
['365', '967', '132']
['805', '954', '536']
['508', '406', '521']
['369', '59', '732']
['133', '910', '724']
['502', '984', '770']
['556', '163', '864']
['20', '756', '807']
['642', '648', '581']
['363', '607', '853']
['577', '869', '370']
['238', '88', '736']
['412', '856', '431']
['690', '763', '579']
['906', '290', '973']
['997', '138', '197']
['433', '362', '265']
['870', '432', '608']
['676', '980', '702']
['287', '202', '366']
['176', '969', '566']
['157', '494', '74']
['806', '339', '780']
['822', '989', '410']
['667', '48', '317']
['260', '1', '306']
['251', '554', '188']
['42', '748', '90']
['886', '342', '62']
['654', '68', '452']
['213', '596', '234']
['643', '743', '982']
['640', '187', '75']
['930', '230', '877']
['925', '451', '86']
['312', '244', '553']
['134', '326', '788']
['5', '378', '774']
['876', '987', '541']
['394', '525', '180']
['279', '883', '915']
['14', '123', '0']
['223', '473', '405']
['32', '781', '851']
['340', '582', '814']
['355', '949', '923']
['522', '765', '97']
['885', '203', '41']
['235', '828', '846']
['352', '663', '77']
['674', '948', '6']
['151', '957', '612']
['850', '150', '347']
['518', '308', '233']
['723', '844', '777']
['389', '446', '739']
['472', '709', '664']
['990', '249', '292']
['827', '899', '701']
['250', '189', '478']
['529', '65', '137']
['938', '928', '746']
['597', '897', '995']
['438', '82', '92']
['266', '237', '444']
['892', '274', '630']
['964', '185', '978']
['862', '11', '520']
['977', '171', '477']
['460', '611', '401']
['625', '89', '356']
['624', '691', '334']
['195', '838', '528']
['424', '641', '310']
['533', '540', '610']
['232', '158', '360']
['738', '907', '875']
['530', '932', '832']
['719', '331', '485']
