['367', '866', '732', '339', '223', '212', '697', '400', '254', '769', '784', '51', '884', '296', '356', '266', '712', '891', '170', '608', '599', '589', '806', '507', '462', '613', '724', '594', '628', '552', '790', '409', '892', '205', '108', '722', '804', '357', '535', '394', '894', '224', '80', '661', '221']
['35', '250', '528', '218', '432', '655', '434', '72', '79', '670', '341', '656', '558', '703', '58', '445', '490', '727', '93', '158', '191', '391', '519', '811', '9', '18', '707', '251', '603', '717', '65', '49', '293', '454', '122', '153', '521', '542', '754', '846', '114', '572', '190', '81', '6']
['563', '385', '248', '583', '775', '499', '604', '330', '31', '482', '71', '144', '376', '225', '634', '721', '206', '468', '311', '10', '706', '524', '368', '346', '473', '446', '188', '232', '810', '314', '42', '767', '282', '329', '578', '564', '831', '442', '895', '404', '151', '520', '304', '735', '47']
['794', '689', '259', '84', '559', '673', '596', '551', '584', '384', '716', '136', '29', '67', '700', '3', '105', '249', '425', '109', '455', '537', '300', '364', '294', '150', '211', '708', '235', '281', '307', '885', '411', '633', '287', '13', '738', '635', '377', '227', '231', '209', '786', '565', '847']
['882', '774', '763', '667', '539', '867', '161', '366', '14', '147', '809', '756', '616', '843', '361', '792', '492', '156', '830', '642', '592', '195', '752', '198', '859', '654', '862', '824', '694', '889', '641', '112', '658', '180', '374', '865', '525', '875', '764', '773', '474', '53', '780', '233', '444']
['619', '546', '886', '427', '135', '682', '768', '410', '169', '545', '890', '448', '154', '328', '290', '415', '805', '308', '887', '16', '453', '94', '7', '625', '76', '776', '720', '128', '759', '203', '216', '104', '649', '850', '636', '615', '381', '466', '302', '175', '387', '363', '484', '815', '836']
['622', '577', '562', '652', '734', '268', '715', '262', '878', '393', '332', '505', '803', '798', '124', '186', '350', '609', '736', '508', '164', '869', '456', '872', '860', '838', '643', '620', '429', '295', '766', '263', '103', '334', '39', '516', '835', '651', '319', '749', '193', '757', '301', '731', '98']
['321', '750', '178', '730', '117', '808', '131', '674', '807', '621', '77', '825', '512', '157', '201', '488', '61', '515', '701', '629', '289', '646', '101', '529', '171', '471', '15', '60', '317', '397', '5', '113', '86', '497', '416', '146', '95', '430', '464', '187', '261', '118', '555', '210', '97']
['256', '213', '801', '236', '856', '20', '532', '648', '120', '879', '637', '719', '273', '743', '761', '873', '271', '402', '698', '383', '746', '274', '172', '106', '388', '483', '237', '710', '56', '491', '691', '270', '788', '141', '588', '310', '676', '200', '59', '280', '568', '309', '78', '493', '680']
['0', '38', '668', '549', '265', '137', '684', '127', '632', '75', '165', '509', '728', '125', '605', '372', '337', '704', '414', '817', '543', '298', '89', '267', '581', '335', '522', '40', '100', '34', '305', '644', '264', '37', '799', '896', '12', '349', '733', '772', '518', '814', '470', '816', '681']
['326', '511', '653', '819', '327', '68', '702', '711', '239', '177', '696', '421', '19', '110', '373', '253', '650', '857', '234', '531', '238', '841', '657', '586', '477', '91', '631', '550', '342', '669', '459', '861', '219', '640', '475', '713', '561', '292', '502', '386', '870', '526', '403', '41', '344']
['398', '685', '338', '214', '55', '574', '64', '548', '533', '663', '450', '580', '352', '1', '340', '617', '242', '623', '449', '729', '87', '457', '582', '833', '420', '575', '194', '557', '99', '369', '461', '536', '433', '428', '585', '883', '142', '675', '322', '832', '452', '283', '760', '523', '447']
['25', '279', '840', '23', '63', '399', '463', '202', '500', '871', '791', '828', '527', '437', '795', '842', '576', '610', '874', '21', '333', '228', '566', '893', '371', '345', '22', '11', '469', '2', '90', '440', '396', '854', '229', '501', '683', '189', '597', '787', '465', '753', '863', '601', '664']
['881', '359', '506', '358', '742', '255', '688', '451', '166', '360', '320', '480', '443', '275', '111', '569', '240', '8', '587', '813', '510', '821', '115', '389', '378', '624', '401', '70', '839', '665', '405', '88', '726', '347', '426', '419', '183', '789', '375', '152', '351', '36', '781', '748', '570']
['168', '783', '481', '678', '173', '573', '316', '606', '495', '699', '422', '496', '258', '744', '897', '197', '395', '747', '793', '472', '184', '24', '438', '354', '313', '705', '46', '134', '560', '48', '638', '244', '257', '196', '241', '851', '54', '880', '167', '639', '618', '365', '123', '155', '611']
['802', '260', '82', '590', '148', '126', '370', '498', '50', '119', '800', '554', '855', '28', '92', '27', '489', '852', '765', '145', '418', '278', '741', '834', '877', '30', '779', '222', '424', '408', '291', '44', '392', '607', '494', '567', '297', '723', '460', '407', '671', '74', '556', '785', '436']
['62', '666', '85', '243', '204', '737', '553', '672', '306', '770', '690', '17', '102', '52', '107', '133', '33', '285', '476', '129', '417', '245', '32', '544', '435', '343', '379', '116', '143', '778', '478', '829', '288', '160', '534', '826', '269', '336', '57', '755', '323', '185', '315', '413', '163']
['66', '740', '659', '827', '593', '43', '132', '812', '412', '844', '504', '458', '796', '762', '486', '818', '579', '822', '252', '645', '858', '695', '353', '876', '771', '797', '848', '390', '174', '217', '686', '530', '739', '208', '247', '782', '571', '517', '709', '192', '423', '714', '751', '630', '312']
['130', '777', '83', '602', '662', '220', '139', '246', '96', '627', '758', '725', '318', '899', '159', '181', '276', '121', '26', '140', '687', '162', '868', '479', '677', '718', '888', '431', '614', '286', '485', '660', '325', '538', '138', '176', '277', '230', '864', '272', '226', '439', '149', '853', '898']
['380', '647', '215', '331', '179', '487', '514', '284', '355', '503', '382', '595', '541', '299', '745', '513', '626', '598', '199', '837', '324', '362', '4', '406', '73', '348', '207', '45', '612', '441', '679', '467', '823', '849', '820', '693', '692', '182', '845', '540', '591', '547', '303', '69', '600']
