['425', '229', '844', '769', '797', '213', '268', '411', '694', '641']
['796', '930', '928', '976', '274', '47', '134', '857', '299', '601']
['801', '921', '761', '617', '324', '166', '663', '952', '14', '11']
['852', '577', '487', '502', '94', '446', '865', '36', '171', '574']
['519', '45', '123', '223', '387', '325', '778', '303', '297', '189']
['727', '412', '841', '143', '476', '27', '672', '190', '226', '800']
['753', '355', '3', '953', '808', '949', '141', '450', '762', '717']
['350', '269', '187', '707', '985', '794', '243', '157', '212', '366']
['131', '931', '748', '107', '904', '997', '103', '345', '228', '569']
['418', '125', '376', '987', '978', '470', '542', '898', '729', '225']
['178', '646', '207', '405', '485', '24', '642', '610', '821', '721']
['239', '817', '454', '177', '13', '252', '854', '140', '38', '977']
['37', '121', '712', '397', '205', '133', '734', '337', '265', '294']
['65', '845', '975', '749', '273', '152', '598', '202', '920', '793']
['811', '318', '32', '249', '839', '840', '344', '699', '89', '527']
['906', '525', '743', '430', '500', '401', '122', '389', '756', '746']
['209', '683', '754', '855', '77', '963', '899', '460', '679', '338']
['79', '153', '406', '653', '872', '232', '947', '46', '834', '716']
['210', '772', '664', '638', '996', '192', '887', '288', '607', '292']
['465', '457', '842', '785', '551', '881', '673', '711', '612', '736']
['560', '912', '491', '575', '706', '700', '291', '341', '604', '129']
['83', '380', '327', '363', '352', '656', '343', '458', '488', '242']
['608', '730', '804', '289', '757', '633', '271', '305', '154', '555']
['431', '689', '176', '669', '627', '377', '820', '16', '960', '31']
['287', '290', '615', '514', '812', '849', '395', '648', '203', '745']
['139', '451', '701', '535', '427', '970', '392', '172', '891', '59']
['137', '752', '473', '467', '5', '882', '792', '68', '443', '659']
['495', '421', '759', '758', '763', '590', '9', '536', '208', '330']
['248', '644', '466', '237', '315', '735', '989', '264', '531', '266']
['925', '158', '322', '335', '603', '684', '956', '862', '66', '462']
['423', '272', '505', '969', '148', '543', '497', '429', '724', '824']
['362', '347', '44', '417', '331', '570', '981', '907', '132', '802']
['101', '483', '710', '933', '280', '439', '791', '179', '967', '251']
['261', '308', '708', '461', '940', '809', '946', '64', '310', '719']
['164', '56', '737', '267', '314', '554', '883', '136', '186', '214']
['323', '655', '231', '703', '914', '76', '219', '557', '935', '71']
['283', '215', '110', '93', '10', '161', '145', '720', '661', '475']
['650', '677', '398', '30', '394', '787', '479', '873', '26', '548']
['480', '201', '328', '195', '983', '184', '665', '998', '375', '592']
['866', '951', '70', '456', '105', '927', '810', '382', '867', '624']
['825', '909', '503', '333', '509', '559', '117', '965', '332', '974']
['75', '222', '626', '160', '964', '339', '304', '357', '582', '596']
['414', '391', '733', '529', '81', '657', '311', '549', '630', '50']
['571', '22', '282', '538', '100', '600', '678', '455', '40', '572']
['714', '58', '442', '838', '958', '836', '356', '562', '517', '424']
['57', '106', '404', '90', '419', '410', '670', '238', '698', '625']
['680', '609', '634', '349', '112', '784', '61', '440', '119', '381']
['48', '674', '354', '17', '230', '12', '830', '908', '104', '900']
['890', '884', '681', '620', '863', '156', '39', '826', '892', '4']
['84', '831', '149', '771', '72', '786', '938', '98', '449', '426']
['715', '777', '206', '966', '628', '378', '566', '747', '676', '54']
['501', '181', '246', '895', '240', '263', '277', '814', '798', '116']
['41', '399', '191', '691', '313', '316', '115', '614', '307', '781']
['198', '114', '233', '629', '819', '662', '731', '236', '496', '919']
['162', '995', '28', '667', '705', '879', '433', '361', '954', '847']
['815', '789', '766', '950', '92', '244', '276', '49', '936', '474']
['319', '302', '364', '647', '594', '510', '632', '459', '764', '120']
['695', '870', '301', '196', '180', '924', '326', '605', '957', '544']
['168', '903', '97', '173', '217', '1', '702', '254', '972', '564']
['512', '685', '371', '666', '359', '532', '163', '235', '19', '859']
['402', '498', '220', '144', '858', '182', '991', '860', '306', '169']
['893', '295', '478', '537', '199', '385', '250', '384', '62', '413']
['611', '167', '471', '296', '386', '74', '109', '216', '34', '922']
['843', '374', '645', '688', '188', '218', '992', '651', '211', '383']
['675', '774', '262', '320', '897', '200', '738', '660', '803', '185']
['25', '790', '85', '124', '861', '553', '584', '595', '35', '913']
['643', '668', '23', '971', '807', '340', '400', '775', '493', '806']
['739', '686', '704', '561', '723', '309', '147', '256', '224', '444']
['765', '234', '540', '127', '142', '379', '372', '835', '942', '573']
['415', '108', '722', '832', '336', '993', '135', '408', '943', '52']
['534', '441', '578', '18', '910', '622', '586', '390', '33', '948']
['545', '227', '816', '55', '980', '329', '654', '285', '591', '51']
['888', '245', '523', '606', '373', '102', '984', '255', '546', '770']
['453', '53', '508', '533', '955', '905', '241', '368', '986', '73']
['886', '520', '113', '636', '138', '298', '396', '726', '526', '511']
['492', '851', '813', '848', '616', '258', '86', '197', '293', '911']
['894', '837', '490', '885', '151', '87', '868', '693', '880', '563']
