['92', '444', '747', '744', '539', '662', '628', '143', '39', '616', '14', '601', '424', '709', '719', '615', '159', '670', '641', '525', '194', '659', '729', '520', '544', '472', '678', '88', '736', '94']
['312', '428', '248', '480', '253', '125', '276', '657', '689', '105', '110', '314', '69', '106', '297', '306', '385', '526', '668', '10', '323', '146', '294', '311', '634', '161', '600', '411', '584', '499']
['546', '561', '346', '34', '545', '243', '605', '459', '599', '180', '274', '242', '287', '462', '391', '655', '609', '45', '664', '126', '82', '588', '267', '496', '680', '1', '21', '667', '279', '653']
['398', '406', '638', '554', '154', '369', '532', '574', '647', '49', '393', '11', '23', '418', '645', '57', '692', '349', '271', '307', '593', '144', '166', '43', '407', '412', '702', '366', '735', '319']
['580', '212', '247', '416', '116', '52', '4', '448', '305', '402', '210', '435', '130', '681', '542', '672', '347', '336', '214', '430', '453', '296', '711', '697', '222', '487', '722', '421', '335', '466']
['299', '427', '705', '743', '109', '120', '129', '382', '196', '348', '386', '178', '167', '676', '84', '228', '85', '313', '25', '165', '277', '626', '239', '186', '340', '35', '443', '275', '438', '364']
['375', '131', '320', '663', '727', '264', '280', '737', '419', '477', '291', '205', '456', '376', '534', '530', '732', '155', '263', '185', '622', '630', '27', '9', '683', '211', '181', '24', '152', '238']
['174', '338', '0', '325', '302', '318', '501', '331', '439', '454', '135', '570', '413', '614', '16', '217', '604', '371', '63', '48', '415', '8', '512', '96', '158', '468', '249', '521', '359', '706']
['204', '67', '224', '396', '682', '726', '269', '56', '102', '395', '597', '478', '650', '475', '551', '29', '493', '201', '695', '518', '553', '273', '442', '482', '425', '450', '502', '661', '577', '635']
['590', '235', '665', '40', '295', '363', '508', '244', '117', '643', '293', '394', '483', '696', '232', '324', '639', '485', '557', '38', '433', '652', '101', '265', '703', '384', '514', '691', '372', '208']
['192', '137', '3', '715', '648', '592', '30', '329', '2', '488', '612', '133', '463', '298', '585', '552', '22', '699', '334', '374', '140', '449', '206', '171', '77', '219', '596', '254', '666', '469']
['583', '36', '15', '142', '470', '270', '322', '608', '632', '383', '446', '202', '642', '19', '355', '78', '87', '745', '704', '284', '339', '675', '720', '352', '484', '246', '83', '342', '679', '315']
['44', '731', '112', '240', '351', '621', '458', '624', '441', '389', '327', '362', '400', '447', '509', '490', '417', '326', '730', '241', '636', '523', '631', '549', '422', '405', '98', '357', '189', '471']
['568', '139', '479', '380', '26', '368', '86', '674', '748', '426', '71', '290', '51', '403', '504', '227', '79', '541', '367', '556', '455', '218', '378', '625', '20', '595', '115', '358', '95', '89']
['66', '200', '742', '176', '633', '282', '183', '5', '503', '707', '701', '555', '229', '511', '304', '213', '118', '252', '640', '164', '491', '292', '37', '506', '103', '617', '379', '309', '473', '620']
['452', '255', '13', '594', '533', '746', '409', '437', '81', '566', '582', '429', '188', '17', '100', '497', '440', '141', '684', '113', '245', '233', '602', '445', '381', '685', '6', '177', '50', '465']
['687', '184', '301', '123', '149', '572', '618', '345', '337', '151', '392', '317', '127', '457', '160', '558', '603', '18', '124', '150', '575', '432', '32', '510', '33', '341', '136', '589', '73', '519']
['591', '197', '489', '734', '278', '328', '237', '99', '540', '598', '713', '717', '660', '12', '251', '436', '223', '712', '563', '138', '494', '353', '528', '522', '72', '226', '724', '613', '75', '529']
['259', '464', '486', '698', '62', '107', '303', '538', '565', '54', '414', '361', '723', '316', '619', '74', '586', '286', '610', '7', '728', '360', '434', '658', '461', '332', '694', '300', '507', '250']
['686', '321', '187', '481', '268', '606', '64', '90', '230', '193', '198', '700', '157', '47', '203', '562', '182', '236', '60', '527', '397', '153', '215', '170', '42', '467', '515', '350', '289', '423']
['195', '285', '714', '76', '128', '567', '216', '573', '716', '365', '654', '495', '498', '356', '172', '550', '517', '41', '61', '677', '671', '571', '283', '261', '108', '564', '168', '80', '536', '576']
['354', '578', '169', '333', '401', '740', '733', '500', '649', '122', '656', '373', '629', '46', '548', '420', '627', '262', '688', '257', '121', '431', '721', '387', '377', '221', '163', '607', '145', '190']
['749', '281', '209', '451', '547', '390', '175', '58', '220', '410', '260', '738', '559', '308', '535', '460', '65', '587', '207', '710', '646', '70', '579', '310', '330', '119', '53', '388', '173', '673']
['55', '708', '637', '560', '162', '399', '114', '179', '741', '581', '644', '156', '31', '531', '147', '343', '225', '537', '191', '476', '408', '344', '266', '93', '669', '725', '91', '111', '505', '492']
['513', '28', '611', '623', '104', '132', '690', '543', '370', '59', '739', '718', '199', '524', '148', '404', '693', '231', '258', '516', '97', '234', '272', '651', '68', '134', '288', '474', '256', '569']
