['723', '792', '359', '784', '796']
['389', '967', '444', '220', '321']
['781', '412', '259', '15', '816']
['754', '399', '28', '699', '435']
['308', '707', '16', '645', '872']
['901', '838', '152', '734', '6']
['695', '65', '994', '649', '930']
['287', '40', '361', '908', '777']
['850', '477', '181', '189', '93']
['803', '854', '348', '700', '52']
['719', '736', '647', '94', '738']
['632', '575', '758', '118', '983']
['769', '785', '980', '995', '196']
['783', '198', '552', '462', '480']
['316', '974', '190', '242', '969']
['82', '879', '279', '522', '241']
['49', '222', '656', '757', '54']
['651', '681', '534', '609', '243']
['469', '558', '136', '561', '639']
['776', '61', '881', '23', '123']
['856', '174', '709', '975', '90']
['919', '141', '716', '527', '255']
['155', '551', '292', '303', '46']
['652', '629', '188', '819', '987']
['525', '512', '459', '713', '749']
['11', '453', '244', '641', '495']
['880', '199', '640', '582', '887']
['826', '419', '675', '922', '637']
['83', '488', '455', '492', '827']
['153', '387', '946', '911', '548']
['844', '157', '312', '622', '566']
['763', '36', '586', '541', '478']
['800', '490', '233', '731', '50']
['407', '261', '982', '271', '219']
['564', '668', '268', '858', '165']
['597', '298', '820', '280', '532']
['705', '323', '354', '234', '670']
['101', '314', '5', '326', '724']
['283', '186', '229', '246', '992']
['953', '760', '464', '694', '184']
['374', '815', '936', '182', '439']
['267', '673', '247', '678', '104']
['31', '822', '386', '787', '60']
['813', '824', '177', '343', '601']
['2', '500', '35', '991', '158']
['428', '17', '193', '383', '173']
['744', '669', '349', '125', '790']
['371', '643', '942', '614', '722']
['91', '457', '596', '442', '406']
['583', '920', '12', '366', '935']
['301', '131', '19', '543', '897']
['102', '910', '556', '570', '209']
['32', '766', '947', '473', '429']
['337', '41', '526', '105', '503']
['943', '802', '120', '625', '147']
['871', '786', '577', '672', '368']
['889', '59', '851', '293', '335']
['728', '517', '422', '403', '917']
['351', '55', '893', '993', '923']
['945', '750', '126', '688', '825']
['662', '655', '3', '310', '92']
['571', '585', '761', '162', '402']
['358', '630', '729', '860', '448']
['411', '964', '418', '191', '176']
['315', '898', '221', '179', '145']
['355', '468', '27', '481', '37']
['235', '159', '415', '250', '538']
['257', '833', '306', '487', '302']
['472', '192', '34', '549', '782']
['211', '849', '912', '45', '465']
['378', '520', '7', '291', '674']
['686', '874', '542', '108', '367']
['47', '888', '57', '521', '764']
['710', '340', '213', '393', '960']
['961', '107', '404', '362', '329']
['76', '821', '212', '98', '623']
['747', '67', '902', '497', '701']
['97', '507', '331', '812', '519']
['171', '751', '491', '262', '680']
['346', '933', '968', '814', '167']
['938', '560', '865', '72', '21']
['334', '290', '949', '284', '929']
['648', '225', '332', '138', '385']
['106', '117', '660', '610', '299']
['116', '535', '817', '226', '342']
['143', '988', '990', '913', '584']
['461', '408', '296', '256', '523']
['360', '611', '906', '725', '580']
['539', '907', '557', '599', '449']
['264', '452', '572', '618', '333']
['899', '721', '297', '486', '84']
['309', '282', '770', '369', '636']
['1', '616', '829', '163', '509']
['568', '693', '467', '845', '134']
['866', '395', '528', '868', '569']
['304', '252', '807', '269', '409']
['64', '553', '4', '708', '377']
['603', '426', '266', '615', '859']
['767', '687', '594', '926', '475']
['545', '646', '836', '828', '263']
['26', '996', '934', '479', '806']
['405', '195', '502', '29', '664']
['139', '476', '114', '924', '180']
['818', '667', '567', '417', '178']
['985', '99', '254', '797', '112']
