['400', '825', '14', '701', '503', '185', '679', '89', '939', '476', '881', '418', '470', '697', '20', '339', '221', '249', '504', '912']
['990', '207', '310', '949', '323', '63', '291', '630', '768', '375', '631', '21', '347', '780', '115', '288', '952', '80', '707', '107']
['810', '844', '894', '366', '943', '474', '877', '959', '784', '781', '215', '274', '322', '531', '565', '220', '929', '226', '839', '755']
['836', '173', '315', '416', '827', '696', '675', '258', '932', '437', '43', '144', '862', '485', '467', '236', '271', '511', '164', '489']
['641', '603', '231', '857', '10', '786', '374', '623', '625', '907', '872', '260', '248', '5', '626', '527', '592', '971', '204', '329']
['141', '250', '11', '408', '983', '961', '838', '113', '671', '365', '962', '326', '174', '667', '241', '685', '878', '822', '601', '903']
['240', '794', '637', '814', '381', '369', '556', '101', '666', '834', '196', '924', '453', '953', '57', '358', '298', '147', '694', '774']
['419', '463', '439', '190', '800', '393', '804', '580', '979', '587', '945', '477', '516', '275', '732', '486', '481', '850', '487', '214']
['921', '773', '965', '257', '72', '891', '501', '670', '758', '447', '645', '121', '785', '521', '966', '355', '963', '475', '869', '524']
['849', '535', '930', '816', '42', '910', '385', '596', '422', '799', '584', '797', '12', '807', '472', '906', '753', '333', '977', '777']
['864', '968', '914', '791', '490', '577', '79', '138', '579', '430', '462', '482', '415', '432', '663', '996', '582', '561', '978', '975']
['74', '156', '314', '951', '526', '37', '874', '421', '916', '186', '148', '984', '752', '957', '544', '395', '28', '111', '244', '703']
['19', '555', '789', '255', '309', '950', '681', '720', '746', '954', '530', '643', '461', '468', '293', '382', '920', '973', '199', '242']
['840', '938', '225', '356', '743', '782', '972', '171', '187', '334', '73', '747', '239', '551', '594', '91', '341', '902', '336', '96']
['702', '49', '998', '109', '982', '847', '908', '895', '253', '803', '263', '820', '683', '31', '941', '399', '423', '425', '997', '337']
['528', '688', '622', '893', '146', '441', '723', '846', '900', '118', '647', '614', '659', '610', '128', '727', '361', '995', '443', '545']
['756', '386', '404', '479', '104', '254', '923', '619', '132', '662', '986', '342', '911', '883', '536', '405', '722', '464', '652', '860']
['848', '203', '886', '32', '695', '136', '64', '793', '0', '345', '387', '398', '71', '496', '991', '95', '591', '981', '61', '284']
['160', '344', '583', '841', '83', '795', '947', '205', '35', '251', '764', '98', '436', '191', '948', '407', '238', '495', '110', '678']
['552', '532', '918', '858', '276', '368', '808', '613', '901', '130', '265', '229', '650', '514', '693', '690', '691', '767', '935', '372']
['940', '994', '627', '593', '824', '563', '155', '444', '124', '279', '47', '581', '69', '175', '373', '8', '866', '741', '970', '431']
['876', '725', '433', '733', '708', '765', '172', '389', '620', '413', '726', '117', '660', '600', '94', '736', '494', '282', '287', '36']
['937', '454', '119', '770', '208', '653', '573', '766', '210', '4', '609', '311', '262', '776', '879', '558', '330', '817', '294', '985']
['870', '812', '340', '411', '712', '612', '892', '885', '730', '698', '875', '321', '304', '585', '320', '763', '480', '572', '871', '100']
['658', '161', '537', '212', '1', '223', '182', '709', '51', '861', '45', '567', '319', '209', '818', '234', '93', '377', '851', '931']
['759', '522', '699', '52', '123', '168', '357', '964', '331', '145', '772', '771', '553', '716', '362', '457', '151', '569', '865', '350']
['428', '99', '706', '640', '837', '542', '29', '745', '787', '616', '597', '517', '960', '644', '586', '401', '599', '189', '529', '222']
['955', '842', '354', '492', '525', '896', '180', '796', '809', '649', '873', '944', '775', '689', '884', '318', '967', '22', '574', '783']
['832', '724', '452', '833', '370', '456', '414', '757', '539', '300', '634', '607', '760', '739', '450', '360', '605', '87', '515', '657']
['828', '507', '898', '75', '749', '672', '576', '628', '469', '677', '564', '38', '394', '554', '140', '651', '269', '615', '217', '112']
['181', '499', '90', '451', '829', '299', '598', '636', '642', '2', '178', '388', '859', '680', '936', '426', '27', '761', '826', '380']
['897', '306', '142', '41', '719', '801', '813', '206', '193', '390', '831', '989', '533', '534', '281', '297', '194', '286', '283', '744']
['23', '195', '53', '267', '280', '717', '448', '669', '68', '571', '661', '308', '889', '491', '684', '868', '106', '853', '40', '202']
['228', '969', '122', '819', '402', '13', '735', '618', '295', '348', '216', '547', '700', '417', '134', '455', '993', '317', '39', '731']
['538', '665', '157', '328', '76', '15', '154', '854', '143', '105', '325', '674', '313', '500', '62', '913', '245', '656', '367', '523']
['158', '566', '925', '882', '750', '434', '424', '114', '363', '327', '608', '718', '397', '152', '163', '137', '867', '988', '70', '909']
['648', '7', '65', '987', '738', '560', '992', '278', '97', '78', '67', '459', '82', '149', '668', '484', '922', '590', '543', '391']
['237', '734', '3', '888', '396', '946', '403', '624', '617', '589', '6', '338', '887', '899', '56', '751', '352', '176', '458', '790']
['346', '520', '259', '285', '541', '513', '438', '705', '420', '715', '638', '351', '664', '30', '303', '301', '371', '604', '166', '33']
['59', '646', '25', '769', '933', '687', '466', '562', '974', '227', '557', '153', '863', '131', '410', '611', '578', '409', '737', '296']
['714', '442', '915', '324', '252', '570', '676', '379', '595', '343', '170', '48', '928', '127', '721', '235', '815', '290', '232', '497']
['510', '247', '77', '307', '830', '219', '268', '159', '460', '218', '606', '184', '919', '588', '449', '440', '635', '277', '364', '261']
['686', '412', '927', '639', '713', '465', '710', '46', '855', '798', '376', '359', '519', '162', '85', '126', '169', '179', '629', '926']
['704', '568', '502', '272', '602', '201', '823', '843', '856', '292', '92', '806', '129', '233', '289', '509', '845', '108', '540', '273']
['852', '116', '165', '762', '81', '305', '512', '835', '102', '384', '44', '506', '779', '682', '778', '84', '392', '17', '435', '332']
['211', '50', '811', '821', '198', '473', '471', '177', '266', '550', '917', '654', '508', '488', '120', '742', '139', '133', '188', '999']
['224', '711', '429', '26', '575', '34', '980', '958', '728', '754', '256', '621', '692', '192', '135', '103', '312', '890', '167', '58']
['150', '976', '483', '942', '197', '633', '655', '549', '88', '230', '353', '378', '349', '55', '905', '213', '880', '18', '125', '673']
['632', '548', '9', '478', '802', '792', '246', '445', '546', '406', '559', '729', '264', '335', '183', '60', '66', '383', '934', '904']
['86', '24', '788', '200', '302', '16', '740', '446', '270', '493', '243', '518', '427', '316', '505', '748', '956', '498', '805', '54']
