['s435', 's60', 's103', 's301', 's291', 's191', 's74', 's257', 's104', 's381']
['s294', 's421', 's469', 's79', 's346', 's380', 's238', 's491', 's365', 's302']
['s45', 's368', 's44', 's93', 's417', 's493', 's241', 's52', 's97', 's190']
['s47', 's131', 's429', 's447', 's350', 's178', 's391', 's48', 's374', 's210']
['s400', 's134', 's357', 's330', 's206', 's142', 's107', 's460', 's372', 's46']
['s326', 's140', 's11', 's354', 's76', 's246', 's467', 's151', 's456', 's168']
['s211', 's465', 's376', 's375', 's270', 's114', 's480', 's32', 's165', 's497']
['s455', 's19', 's466', 's337', 's215', 's72', 's483', 's194', 's273', 's197']
['s17', 's445', 's428', 's237', 's410', 's364', 's289', 's449', 's22', 's116']
['s198', 's90', 's157', 's185', 's220', 's471', 's30', 's49', 's240', 's245']
['s217', 's436', 's477', 's437', 's80', 's173', 's56', 's101', 's269', 's377']
['s212', 's482', 's95', 's12', 's261', 's369', 's398', 's242', 's444', 's189']
['s494', 's386', 's345', 's438', 's167', 's84', 's138', 's370', 's262', 's24']
['s298', 's67', 's408', 's25', 's401', 's133', 's387', 's199', 's139', 's282']
['s59', 's397', 's170', 's358', 's129', 's192', 's404', 's474', 's147', 's83']
['s148', 's260', 's448', 's6', 's150', 's28', 's248', 's3', 's239', 's87']
['s99', 's34', 's121', 's249', 's416', 's287', 's196', 's278', 's216', 's340']
['s145', 's38', 's297', 's89', 's69', 's175', 's432', 's40', 's307', 's322']
['s267', 's310', 's205', 's359', 's68', 's85', 's446', 's321', 's153', 's320']
['s78', 's351', 's292', 's209', 's333', 's222', 's29', 's183', 's279', 's280']
['s295', 's405', 's36', 's317', 's252', 's265', 's208', 's86', 's463', 's427']
['s283', 's319', 's158', 's441', 's9', 's186', 's256', 's440', 's499', 's122']
['s0', 's353', 's470', 's385', 's102', 's430', 's73', 's389', 's459', 's339']
['s94', 's126', 's407', 's266', 's234', 's100', 's155', 's306', 's450', 's453']
['s495', 's304', 's174', 's41', 's130', 's271', 's118', 's176', 's149', 's75']
['s218', 's204', 's426', 's10', 's169', 's250', 's399', 's490', 's414', 's31']
['s315', 's154', 's113', 's251', 's395', 's230', 's37', 's264', 's371', 's439']
['s342', 's431', 's338', 's171', 's202', 's8', 's91', 's119', 's275', 's341']
['s135', 's388', 's66', 's132', 's420', 's378', 's473', 's487', 's120', 's58']
['s193', 's136', 's303', 's64', 's464', 's356', 's268', 's81', 's33', 's188']
['s62', 's195', 's475', 's177', 's392', 's123', 's247', 's382', 's348', 's481']
['s146', 's14', 's108', 's259', 's423', 's88', 's293', 's286', 's403', 's402']
['s184', 's144', 's492', 's63', 's233', 's328', 's161', 's363', 's284', 's451']
['s347', 's406', 's274', 's16', 's452', 's498', 's324', 's418', 's143', 's367']
['s96', 's54', 's219', 's20', 's166', 's373', 's109', 's172', 's355', 's425']
['s203', 's305', 's182', 's57', 's61', 's394', 's443', 's162', 's300', 's7']
['s468', 's23', 's255', 's223', 's336', 's422', 's258', 's15', 's419', 's390']
['s228', 's213', 's243', 's277', 's77', 's164', 's231', 's308', 's413', 's105']
['s180', 's312', 's236', 's318', 's457', 's42', 's311', 's285', 's225', 's159']
['s332', 's201', 's51', 's27', 's181', 's5', 's65', 's235', 's70', 's125']
['s39', 's393', 's316', 's71', 's331', 's496', 's379', 's187', 's200', 's160']
['s221', 's335', 's179', 's226', 's224', 's50', 's26', 's117', 's43', 's124']
['s433', 's35', 's362', 's478', 's461', 's4', 's288', 's2', 's207', 's106']
['s92', 's214', 's115', 's21', 's156', 's128', 's82', 's415', 's13', 's127']
['s313', 's329', 's299', 's276', 's352', 's296', 's383', 's485', 's18', 's1']
['s462', 's442', 's253', 's409', 's325', 's344', 's334', 's281', 's384', 's263']
['s360', 's361', 's327', 's137', 's396', 's412', 's112', 's366', 's309', 's486']
['s323', 's272', 's254', 's488', 's476', 's454', 's290', 's55', 's232', 's349']
['s141', 's314', 's479', 's227', 's472', 's98', 's424', 's110', 's244', 's489']
['s411', 's111', 's53', 's343', 's229', 's163', 's458', 's152', 's484', 's434']
[]
[]
