['35', '309', '394', '333', '332', '119', '129', '33', '480', '14', '347', '324', '401', '4', '5', '148', '54', '385', '322', '70', '174', '126', '219', '233', '24', '344', '138', '446', '376', '38', '440', '265', '465', '327', '224', '180', '13', '341', '352', '336', '383', '369', '198', '263', '17', '261', '368']
['112', '485', '166', '390', '426', '168', '27', '484', '114', '452', '384', '427', '218', '67', '457', '199', '239', '337', '11', '270', '94', '39', '83', '312', '102', '405', '314', '417', '424', '151', '404', '497', '348', '132', '477', '30', '196', '241', '366', '436', '251', '319', '274', '246', '101', '340', '223']
['429', '238', '299', '121', '287', '476', '183', '391', '236', '462', '187', '9', '325', '56', '467', '107', '205', '68', '275', '346', '321', '58', '122', '386', '158', '443', '73', '212', '69', '232', '375', '157', '318', '412', '367', '6', '379', '78', '155', '396', '31', '342', '213', '32', '381', '291', '387']
['7', '127', '269', '170', '92', '55', '471', '222', '431', '41', '235', '418', '22', '400', '53', '407', '139', '338', '473', '382', '105', '206', '498', '173', '72', '496', '18', '492', '115', '289', '95', '253', '46', '433', '255', '481', '389', '377', '23', '210', '475', '93', '469', '487', '313', '245', '357']
['141', '220', '297', '162', '197', '279', '191', '50', '442', '488', '159', '12', '123', '109', '186', '403', '51', '283', '85', '420', '167', '416', '234', '453', '470', '278', '190', '156', '290', '146', '329', '137', '441', '460', '44', '285', '293', '456', '380', '439', '437', '472', '200', '317', '135', '179', '449']
['262', '434', '438', '301', '266', '248', '284', '478', '71', '458', '29', '189', '161', '489', '281', '28', '99', '172', '282', '154', '409', '57', '419', '252', '87', '117', '399', '3', '171', '136', '49', '110', '362', '398', '474', '486', '42', '175', '124', '37', '20', '447', '459', '77', '152', '153', '408']
['350', '226', '351', '323', '331', '82', '354', '292', '160', '410', '47', '131', '140', '411', '163', '365', '63', '221', '89', '392', '308', '288', '242', '147', '302', '463', '468', '64', '356', '254', '286', '339', '90', '176', '444', '326', '491', '445', '43', '349', '358', '373', '422', '244', '335', '34', '207']
['86', '483', '231', '247', '48', '267', '311', '413', '203', '364', '451', '149', '79', '256', '8', '118', '454', '310', '353', '1', '406', '193', '300', '320', '74', '61', '120', '228', '16', '111', '145', '65', '10', '461', '169', '60', '393', '277', '355', '258', '428', '395', '448', '66', '296', '214', '106']
['435', '230', '133', '188', '432', '359', '108', '185', '374', '128', '182', '204', '421', '280', '494', '363', '134', '343', '415', '143', '177', '330', '80', '59', '294', '303', '21', '76', '84', '479', '52', '194', '227', '295', '249', '165', '304', '273', '370', '345', '113', '425', '360', '40', '217', '144', '455']
['36', '192', '103', '26', '19', '237', '430', '240', '195', '91', '315', '307', '181', '208', '216', '209', '116', '125', '272', '264', '104', '276', '464', '243', '130', '100', '250', '271', '334', '62', '397', '371', '495', '142', '388', '215', '202', '378', '499', '75', '97', '372', '25', '402', '450', '493', '361']
['88', '260', '328', '305', '414', '150', '178', '259', '306', '316', '15', '482', '423', '96', '257', '45', '268', '466', '164', '490', '201', '225', '211', '298', '98', '81', '229', '2', '184']
