['A0', 'B0', 'C0']
['D0', 'E0', 'F0']
['G0', 'H0', 'A1']
['B1', 'C1', 'D1']
['E1', 'F1', 'G1']
['H1', 'A2', 'B2']
['C2', 'D2', 'E2']
['F2', 'G2', 'H2']
['A3', 'B3', 'C3']
['D3', 'E3', 'F3']
['G3', 'H3', 'A4']
['B4', 'C4', 'D4']
['E4', 'F4', 'G4']
['H4', 'A5', 'B5']
['C5', 'D5', 'E5']
['F5', 'G5', 'H5']
['A6', 'B6', 'C6']
['D6', 'E6', 'F6']
['G6', 'H6', 'A7']
['B7', 'C7', 'D7']
['E7', 'F7', 'G7']
['H7', 'A8', 'B8']
['C8', 'D8', 'E8']
['F8', 'G8', 'H8']
['A9', 'B9', 'C9']
['D9', 'E9', 'F9']
['G9', 'H9', 'A10']
['B10', 'C10', 'D10']
['E10', 'F10', 'G10']
['H10', 'A11', 'B11']
['C11', 'D11', 'E11']
['F11', 'G11', 'H11']
['A12', 'B12', 'C12']
['D12', 'E12', 'F12']
['G12', 'H12', 'A13']
['B13', 'C13', 'D13']
['E13', 'F13', 'G13']
['H13', 'A14', 'B14']
['C14', 'D14', 'E14']
['F14', 'G14', 'H14']
['A15', 'B15', 'C15']
['D15', 'E15', 'F15']
['G15', 'H15', 'A16']
['B16', 'C16', 'D16']
['E16', 'F16', 'G16']
['H16', 'A17', 'B17']
['C17', 'D17', 'E17']
['F17', 'G17', 'H17']
['A18', 'B18', 'C18']
['D18', 'E18', 'F18']
['G18', 'H18', 'A19']
['B19', 'C19', 'D19']
['E19', 'F19', 'G19']
['H19', 'A20', 'B20']
['C20', 'D20', 'E20']
['F20', 'G20', 'H20']
['A21', 'B21', 'C21']
['D21', 'E21', 'F21']
['G21', 'H21', 'A22']
['B22', 'C22', 'D22']
['E22', 'F22', 'G22']
['H22', 'A23', 'B23']
['C23', 'D23', 'E23']
['F23', 'G23', 'H23']
['A24', 'B24', 'C24']
['D24', 'E24', 'F24']
['G24', 'H24', 'A25']
['B25', 'C25', 'D25']
['E25', 'F25', 'G25']
['H25', 'A26', 'B26']
['C26', 'D26', 'E26']
['F26', 'G26', 'H26']
['A27', 'B27', 'C27']
['D27', 'E27', 'F27']
['G27', 'H27', 'A28']
['B28', 'C28', 'D28']
['E28', 'F28', 'G28']
['H28', 'A29', 'B29']
['C29', 'D29', 'E29']
['F29', 'G29', 'H29']
['A30', 'B30', 'C30']
['D30', 'E30', 'F30']
['G30', 'H30', 'A31']
['B31', 'C31', 'D31']
['E31', 'F31', 'G31']
['H31', 'A32', 'B32']
['C32', 'D32', 'E32']
['F32', 'G32', 'H32']
['A33', 'B33', 'C33']
['D33', 'E33', 'F33']
['G33', 'H33', 'A34']
['B34', 'C34', 'D34']
['E34', 'F34', 'G34']
['H34', 'A35', 'B35']
['C35', 'D35', 'E35']
['F35', 'G35', 'H35']
['A36', 'B36', 'C36']
['D36', 'E36', 'F36']
['G36', 'H36', 'A37']
['B37', 'C37', 'D37']
['E37', 'F37', 'G37']
['H37', 'A38', 'B38']
['C38', 'D38', 'E38']
['F38', 'G38', 'H38']
['A39', 'B39', 'C39']
['D39', 'E39', 'F39']
['G39', 'H39', 'A40']
['B40', 'C40', 'D40']
['E40', 'F40', 'G40']
['H40', 'A41', 'B41']
['C41', 'D41', 'E41']
['F41', 'G41', 'H41']
['A42', 'B42', 'C42']
['D42', 'E42', 'F42']
['G42', 'H42', 'A43']
['B43', 'C43', 'D43']
['E43', 'F43', 'G43']
['H43', 'A44', 'B44']
['C44', 'D44', 'E44']
['F44', 'G44', 'H44']
['A45', 'B45', 'C45']
['D45', 'E45', 'F45']
['G45', 'H45', 'A46']
['B46', 'C46', 'D46']
['E46', 'F46', 'G46']
['H46', 'A47', 'B47']
['C47', 'D47', 'E47']
['F47', 'G47', 'H47']
['A48', 'B48', 'C48']
['D48', 'E48', 'F48']
['G48', 'H48', 'A49']
['B49', 'C49', 'D49']
['E49', 'F49', 'G49']
['H49', 'A50', 'B50']
['C50', 'D50', 'E50']
['F50', 'G50', 'H50']
['A51', 'B51', 'C51']
['D51', 'E51', 'F51']
['G51', 'H51', 'A52']
['B52', 'C52', 'D52']
['E52', 'F52', 'G52']
['H52', 'A53', 'B53']
['C53', 'D53', 'E53']
['F53', 'G53', 'H53']
['A54', 'B54', 'C54']
['D54', 'E54', 'F54']
['G54', 'H54', '0']
['1', '21', '22']
['2', '23', '24']
['3', '25', '26']
['4', '27', '28']
['5', '29', '30']
['6', '31', '46']
['7', '32', '47']
['8', '33', '48']
['9', '34', '49']
['10', '35', '50']
['11', '36', '51']
['12', '37', '52']
['13', '38', '53']
['14', '39', '54']
['15', '40', '55']
['16', '41', '56']
['17', '42', '57']
['18', '43', '58']
['19', '44', '59']
['20', '45']
