['a0', 'a6', 'a9', 'a5', 'a10', 'a11', 'a69', 'a19', 'a15', 'a61']
['a7', 'a1', 'a4', 'a2', 'a8', 'a13', 'a14', 'a16', 'a63', 'a65']
['a68', 'a12', 'a81', 'a18', 'a88', 'a198', 'a193', 'a197', 'a204', 'a17']
['a98', 'a83', 'a201', 'a206', 'a92', 'a207', 'a27', 'a29', 'a22', 'a25']
['a20', 'a24', 'a28', 'a26', 'a23', 'a30', 'a38', 'a33', 'a34', 'a36']
['a37', 'a32', 'a35', 'a39', 'a40', 'a49', 'a42', 'a41', 'a50', 'a56']
['a47', 'a48', 'a43', 'a44', 'a57', 'a54', 'a55', 'a51', 'a59', 'a196']
['a52', 'a58', 'a60', 'a67', 'a62', 'a66', 'a194', 'a90', 'a190', 'a192']
['a64', 'a85', 'a91', 'a97', 'a94', 'a93', 'a70', 'a77', 'a76', 'a80']
['a86', 'a95', 'a72', 'a73', 'a71', 'a78', 'a74', 'a75', 'a84', 'a87']
['a82', 'a89', 'a191', 'a96', 'a99', 'a100', 'a106', 'a103', 'a107', 'a110']
['a109', 'a108', 'a104', 'a105', 'a116', 'a115', 'a119', 'a112', 'a120', 'a127']
['a114', 'a118', 'a111', 'a117', 'a126', 'a124', 'a122', 'a123', 'a125', 'a129']
['a128', 'a130', 'a134', 'a138', 'a139', 'a132', 'a140', 'a144', 'a141', 'a146']
['a133', 'a135', 'a131', 'a145', 'a148', 'a143', 'a150', 'a155', 'a157', 'a152']
['a147', 'a149', 'a151', 'a159', 'a154', 'a160', 'a165', 'a164', 'a161', 'a169']
['a158', 'a156', 'a167', 'a166', 'a168', 'a163', 'a170', 'a175', 'a173', 'a171']
['a178', 'a176', 'a172', 'a174', 'a177', 'a180', 'a185', 'a189', 'a182', 'a188']
['a183', 'a181', 'a187', 'a186', 'a203', 'a200', 'a209', 'a195', 'a199', 'a205']
['a202', 'a208', 'a210', 'a211', 'a218', 'a212', 'a215', 'a220', 'a222', 'a227']
['a216', 'a214', 'a213', 'a219', 'a225', 'a221', 'a226', 'a224', 'a229', 'a230']
['a228', 'a235', 'a239', 'a238', 'a233', 'a232', 'a236', 'a240', 'a248', 'a241']
['a234', 'a231', 'a243', 'a242', 'a249', 'a247', 'a3', 'a21', 'a31', 'a45']
['a246', 'a46', 'a53', 'a79', 'a101', 'a102', 'a113', 'a121', 'a136', 'a137']
['a142', 'a153', 'a162', 'a179', 'a184', 'a217', 'a223', 'a237', 'a244', 'a245']
