['92', '206', '290', '341', '369', '299', '366', '1', '126', '185', '230', '9', '197', '317', '99', '225', '189', '207', '269', '97']
['309', '352', '285', '280', '82', '224', '95', '310', '131', '391', '359', '241', '6', '147', '250', '350', '116', '386', '214', '159']
['162', '258', '124', '210', '239', '88', '166', '347', '385', '272', '198', '117', '96', '183', '266', '260', '265', '358', '388', '294']
['212', '63', '326', '106', '215', '289', '191', '226', '160', '276', '94', '221', '176', '72', '108', '71', '171', '271', '178', '59']
['368', '155', '209', '389', '345', '31', '222', '334', '380', '14', '303', '84', '208', '153', '255', '252', '246', '220', '105', '172']
['304', '57', '279', '68', '390', '245', '121', '78', '277', '204', '282', '151', '81', '218', '91', '45', '314', '188', '327', '342']
['141', '8', '387', '298', '312', '90', '203', '113', '139', '297', '5', '150', '376', '384', '122', '257', '343', '264', '301', '383']
['65', '353', '164', '200', '240', '319', '146', '42', '195', '22', '205', '18', '30', '175', '268', '182', '86', '340', '93', '179']
['247', '7', '56', '39', '274', '372', '261', '202', '399', '180', '213', '270', '142', '370', '67', '127', '254', '211', '236', '79']
['248', '321', '302', '143', '190', '300', '400', '17', '288', '313', '110', '61', '320', '339', '138', '318', '2', '249', '135', '50']
['253', '47', '393', '242', '49', '70', '76', '323', '360', '394', '118', '234', '53', '145', '66', '364', '25', '43', '219', '315']
['15', '173', '365', '169', '392', '324', '69', '305', '115', '296', '103', '295', '148', '396', '337', '186', '137', '125', '120', '109']
['355', '156', '21', '349', '373', '181', '140', '291', '174', '287', '201', '35', '237', '87', '262', '163', '23', '398', '27', '13']
['62', '41', '194', '243', '184', '379', '46', '308', '132', '161', '232', '114', '251', '44', '38', '73', '325', '129', '58', '381']
['28', '367', '328', '133', '170', '374', '227', '19', '293', '32', '101', '100', '144', '102', '26', '263', '12', '332', '98', '335']
['256', '34', '316', '378', '193', '75', '187', '4', '216', '64', '55', '329', '134', '80', '136', '77', '29', '306', '284', '307']
['52', '362', '382', '128', '361', '356', '149', '83', '74', '48', '397', '377', '168', '51', '107', '154', '11', '36', '231', '281']
['229', '275', '357', '331', '111', '167', '336', '123', '348', '395', '60', '85', '130', '333', '104', '10', '238', '259', '330', '351']
['37', '3', '273', '158', '346', '16', '292', '286', '233', '235', '119', '157', '375', '338', '89', '371', '244', '322', '54', '24']
['40', '354', '278', '283', '177', '192', '152', '363', '33', '228', '112', '223', '311', '267', '199', '20', '344', '217', '196', '165']
[]
[]
