['0', '463', '1']
['59', '3', '397']
['146', '4', '15']
['234', '300', '5']
['162', '298', '6']
['442', '228', '7']
['254', '131', '10']
['183', '12', '452']
['429', '13', '253']
['406', '14', '31']
['129', '18', '174']
['19', '145', '40']
['321', '135', '20']
['34', '448', '21']
['306', '390', '22']
['396', '23', '445']
['25', '154', '474']
['26', '95', '27']
['170', '28', '177']
['29', '140', '30']
['485', '460', '32']
['415', '33', '35']
['428', '36', '73']
['37', '391', '38']
['370', '297', '39']
['454', '403', '41']
['206', '42', '136']
['43', '489', '44']
['77', '103', '45']
['412', '124', '47']
['164', '125', '48']
['50', '106', '51']
['435', '55', '417']
['56', '362', '58']
['422', '213', '314']
['62', '138', '64']
['480', '416', '319']
['299', '65', '66']
['472', '71', '156']
['76', '224', '78']
['79', '80', '363']
['97', '83', '273']
['199', '84', '426']
['255', '85', '243']
['86', '87', '399']
['88', '182', '89']
['169', '91', '133']
['94', '153', '98']
['478', '100', '212']
['385', '102', '220']
['105', '311', '420']
['496', '107', '498']
['108', '388', '139']
['337', '109', '110']
['465', '278', '389']
['112', '380', '113']
['114', '236', '116']
['392', '117', '159']
['118', '348', '122']
['147', '123', '230']
['158', '126', '132']
['127', '161', '128']
['143', '292', '134']
['351', '404', '320']
['141', '484', '367']
['200', '492', '211']
['481', '150', '286']
['152', '285', '155']
['196', '256', '160']
['413', '359', '471']
['242', '165', '274']
['193', '171', '339']
['172', '453', '330']
['173', '270', '185']
['181', '355', '188']
['304', '438', '191']
['373', '281', '194']
['361', '198', '468']
['201', '456', '205']
['372', '207', '210']
['222', '488', '216']
['218', '324', '364']
['225', '395', '227']
['374', '231', '411']
['233', '235', '258']
['239', '464', '241']
['394', '265', '246']
['365', '247', '450']
['249', '250', '476']
['260', '262', '268']
['419', '269', '308']
['271', '350', '288']
['279', '347', '290']
['310', '282', '283']
['447', '284', '451']
['354', '303', '313']
['307', '401', '349']
['316', '318', '434']
['325', '334', '343']
['378', '352', '482']
['360', '493', '470']
['499', '382', '384']
['383', '408', '425']
['400', '405', '421']
['407', '414', '469']
['455', '418', '423']
['475', '427', '439']
['490', '441', '446']
['495', '2', '8']
['9', '11', '16']
['17', '24', '46']
['49', '52', '53']
['54', '57', '60']
['61', '63', '67']
['68', '69', '70']
['72', '74', '75']
['81', '82', '90']
['92', '93', '96']
['99', '101', '104']
['111', '115', '119']
['120', '121', '130']
['137', '142', '144']
['148', '149', '151']
['157', '163', '166']
['167', '168', '175']
['176', '178', '179']
['180', '184', '186']
['187', '189', '190']
['192', '195', '197']
['202', '203', '204']
['208', '209', '214']
['215', '217', '219']
['221', '223', '226']
['229', '232', '237']
['238', '240', '244']
['245', '248', '251']
['252', '257', '259']
['261', '263', '264']
['266', '267', '272']
['275', '276', '277']
['280', '287', '289']
['291', '293', '294']
['295', '296', '301']
['302', '305', '309']
['312', '315', '317']
['322', '323', '326']
['327', '328', '329']
['331', '332', '333']
['335', '336', '338']
['340', '341', '342']
['344', '345', '346']
['353', '356', '357']
['358', '366', '368']
['369', '371', '375']
['376', '377', '379']
['381', '386', '387']
['393', '398', '402']
['409', '410', '424']
['430', '431', '432']
['433', '436', '437']
['440', '443', '444']
['449', '457', '458']
['459', '461', '462']
['466', '467', '473']
['477', '479', '483']
['486', '487', '491']
['494', '497']
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
