['Amber', 'Mary', 'Danielle', 'Gabrielle', 'Jordan', 'Brooke', 'Sierra', 'Katelyn', 'Andrea', 'Madeline']
['Michelle', 'Sara', 'Kimberly', 'Courtney', 'Erin', 'Brittany', 'Vanessa', 'Jacqueline', 'Jenna', 'Caroline']
['Faith', 'Makayla', 'Bailey', 'Paige', 'Shelby', 'Melissa', 'Christina', 'Trinity', 'Caitlin', 'Mariah']
['Kaylee', 'Autumn', 'Marissa', 'Angela', 'Breanna', 'Catherine', 'Zoe', 'Briana', 'Jada', 'Laura']
['Claire', 'Alexa', 'Kelsey', 'Kathryn', 'Leslie', 'Alexandria', 'Mia', 'Isabel', 'Molly', 'Leah']
['Sabrina', 'Katie', 'Gabriella', 'Cheyenne', 'Cassandra', 'Tiffany', 'Erica', 'Lindsey', 'Kylie', 'Diana']
['Amy', 'Cassidy', 'Mikayla', 'Ariana', 'Margaret', 'Kelly', 'Maya', 'Melanie', 'Audrey', 'Jade']
['Miranda', 'Gabriela', 'Caitlyn', 'Angel', 'Jillian', 'Alicia', 'Jocelyn', 'Erika', 'Lily', 'Heather']
['Madelyn', 'Adriana', 'Arianna', 'Lillian', 'Kiara', 'Riley', 'Mckenzie', 'Meghan', 'Skylar', 'Ana']
['Crystal', 'Britney', 'Angelica', 'Kennedy', 'Chelsea', 'Daisy', 'Kristen', 'Veronica', 'Isabelle', 'Summer']
['Hope', 'Brittney', 'Lydia', 'Hayley', 'Evelyn', 'Bethany', 'Michaela', 'Karen', 'Jamie', 'Daniela']
['Shannon', 'Angelina', 'Kaitlin', 'Karina', 'Sophie', 'Sofia', 'Diamond', 'Payton', 'Cynthia', 'Alexia']
['Valerie', 'Monica', 'Peyton', 'Carly', 'Bianca', 'Hanna', 'Rebekah', 'Alejandra', 'Mya', 'Avery']
['Brenda', 'Brooklyn', 'Ashlyn', 'Lindsay', 'Ava', 'Desiree', 'Alondra', 'Camryn', 'Ariel', 'Naomi']
['Jordyn', 'Kendra', 'Mckenna', 'Holly', 'Julie', 'Kendall', 'Jasmin', 'Selena', 'Esmeralda', 'Amaya']
['Kara', 'Kylee', 'Maggie', 'Makenzie', 'Claudia', 'Cameron', 'Kyra', 'Karla', 'Kathleen', 'Abby']
