['476', '281', '295', '323', '324', '44', '465', '105', '442', '355', '86', '83', '285', '164', '346', '417', '338', '340', '206', '67', '53', '469', '175', '106', '250', '211', '446', '70', '97', '146', '361', '244']
['87', '81', '360', '22', '108', '119', '2', '93', '199', '238', '329', '392', '242', '273', '28', '139', '193', '283', '155', '376', '263', '301', '125', '77', '95', '257', '170', '467', '439', '149', '98', '209']
['243', '204', '348', '23', '354', '251', '430', '357', '275', '223', '78', '278', '45', '59', '57', '288', '0', '400', '94', '384', '333', '282', '258', '461', '117', '379', '101', '52', '1', '415', '458', '104']
['402', '418', '216', '419', '171', '230', '61', '385', '447', '327', '168', '195', '350', '247', '184', '304', '56', '470', '69', '156', '58', '9', '85', '473', '404', '111', '287', '130', '210', '286', '138', '35']
['76', '374', '393', '71', '451', '353', '112', '255', '337', '62', '173', '309', '413', '201', '342', '25', '269', '140', '96', '298', '5', '188', '7', '91', '405', '182', '380', '265', '218', '466', '386', '319']
['29', '311', '207', '431', '412', '368', '315', '14', '190', '364', '381', '271', '89', '51', '116', '148', '399', '391', '274', '145', '189', '110', '160', '3', '136', '398', '163', '449', '356', '462', '252', '423']
['302', '245', '254', '84', '290', '151', '181', '365', '266', '214', '113', '26', '187', '68', '240', '297', '341', '345', '396', '221', '334', '131', '444', '176', '401', '310', '475', '88', '264', '306', '313', '215']
['203', '158', '162', '174', '422', '10', '292', '410', '237', '17', '121', '133', '234', '74', '424', '154', '259', '18', '82', '122', '293', '272', '305', '73', '6', '387', '477', '231', '343', '219', '420', '352']
['276', '64', '373', '377', '438', '347', '128', '208', '65', '185', '134', '63', '432', '233', '328', '239', '291', '260', '15', '411', '4', '414', '428', '241', '172', '331', '123', '150', '20', '454', '48', '425']
['294', '318', '443', '435', '166', '167', '427', '19', '55', '39', '103', '362', '32', '455', '409', '152', '142', '157', '474', '378', '267', '314', '406', '126', '212', '358', '47', '433', '75', '246', '464', '132']
['448', '407', '371', '479', '227', '38', '383', '421', '284', '129', '268', '316', '363', '388', '270', '403', '50', '137', '43', '194', '330', '320', '11', '395', '228', '336', '453', '192', '12', '220', '366', '80']
['72', '261', '390', '307', '332', '60', '339', '440', '262', '186', '478', '141', '326', '99', '389', '277', '42', '114', '8', '349', '472', '434', '191', '179', '109', '115', '54', '224', '296', '21', '426', '394']
['367', '222', '235', '107', '437', '34', '153', '280', '317', '429', '322', '382', '249', '200', '456', '217', '229', '159', '375', '416', '370', '300', '452', '459', '457', '66', '16', '31', '165', '40', '436', '37']
['468', '135', '30', '460', '441', '321', '213', '450', '232', '335', '124', '46', '236', '471', '397', '256', '79', '161', '90', '202', '102', '289', '279', '92', '308', '351', '120', '344', '299', '100', '143', '198']
['303', '359', '463', '445', '118', '196', '13', '147', '169', '369', '225', '33', '127', '183', '197', '24', '41', '27', '325', '36', '253', '248', '144', '312', '408', '226', '178', '205', '372', '49', '177', '180']
