['1', '2', '3', '4', '5', '6', '8', '10', '12', '15', '17', '21', '23', '28', '30', '36', '38', '45', '47', '55', '57', '66', '68', '78', '80', '91', '93', '105', '107', '120']
['7', '9', '11', '13', '16', '18', '20', '22', '24', '26', '29', '31', '33', '35', '37', '39', '41', '43', '46', '48', '50', '52', '54', '56', '58', '60', '62', '64', '67', '69']
['14', '19', '25', '27', '32', '34', '40', '42', '44', '49', '51', '53', '59', '61', '63', '65', '70', '72', '74', '76', '79', '81', '83', '85', '87', '89', '92', '94', '96', '98']
['71', '73', '75', '77', '82', '84', '86', '88', '90', '95', '97', '99', '101', '103', '106', '108', '110', '112', '114', '116', '118', '121', '122', '124', '126', '128', '130', '132', '134', '136']
['100', '102', '104', '109', '111', '113', '115', '117', '119', '123', '125', '127', '129', '131', '133', '135', '137', '138', '140', '142', '144', '146', '148', '150', '152', '153', '155', '171', '173', '190']
['139', '141', '143', '145', '147', '149', '151', '154', '156', '158', '160', '162', '164', '166', '168', '170', '172', '174', '176', '178', '180', '182', '184', '186', '188', '191', '192', '194', '196', '198']
['157', '159', '161', '163', '165', '167', '169', '175', '177', '179', '181', '183', '185', '187', '189', '193', '195', '197', '199', '201', '203', '205', '207', '209', '210', '212', '231', '233', '253', '255']
['200', '202', '204', '206', '208', '211', '213', '215', '217', '219', '221', '223', '225', '227', '229', '232', '234', '236', '238', '240', '242', '244', '246', '248', '250', '252', '254', '256', '258', '260']
['214', '216', '218', '220', '222', '224', '226', '228', '230', '235', '237', '239', '241', '243', '245', '247', '249', '251', '257', '259', '261', '263', '265', '267', '269', '271', '273', '275', '276', '278']
['262', '264', '266', '268', '270', '272', '274', '277', '279', '281', '283', '285', '287', '289', '291', '293', '295', '297', '299', '300', '302', '325', '327', '351', '352', '353', '370', '372', '374', '376']
['280', '282', '284', '286', '288', '290', '292', '294', '296', '298', '301', '303', '305', '307', '309', '311', '313', '315', '317', '319', '321', '323', '326', '328', '330', '332', '334', '336', '338', '340']
['304', '306', '308', '310', '312', '314', '316', '318', '320', '322', '324', '329', '331', '333', '335', '337', '339', '341', '343', '345', '347', '349', '354', '356', '358', '360', '362', '364', '366', '368']
['342', '344', '346', '348', '350', '355', '357', '359', '361', '363', '365', '367', '369', '371', '373', '375', '377']
