['0', '1', '2', '3', '4', '5', '6', '8', '9', '10', '12', '13', '14', '16', '21', '23', '24', '25', '27', '28', '30', '31', '32', '34', '36']
['7', '11', '15', '17', '18', '19', '20', '22', '26', '29', '33', '35', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '49', '50']
['48', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '70', '71', '75', '76', '78', '79', '83', '84']
['67', '68', '69', '72', '73', '74', '77', '80', '81', '82', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97', '98', '99']
['100', '101', '102', '103', '104', '105', '106', '107', '108', '109', '115', '117', '118', '119', '121', '123', '124', '127', '130', '131', '132', '133', '134', '135', '136']
['110', '111', '112', '113', '114', '116', '120', '122', '125', '126', '128', '129', '137', '138', '139', '141', '142', '143', '144', '145', '146', '147', '148', '149', '150']
['140', '151', '152', '153', '154', '155', '156', '158', '160', '161', '162', '165', '166', '167', '169', '170', '175', '176', '177', '179', '180', '181', '183', '184', '185']
['157', '159', '163', '164', '168', '171', '172', '173', '174', '178', '182', '186', '187', '188', '189', '190', '191', '192', '193', '194', '195', '196', '197', '198', '199']
['200', '201', '202', '203', '204', '205', '206', '207', '208', '209', '211', '212', '214', '216', '217', '221', '223', '225', '226', '228', '230', '231', '232', '233', '235']
['210', '213', '215', '218', '219', '220', '222', '224', '227', '229', '234', '236', '237', '238', '239', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249']
['250', '251', '252', '253', '254', '255', '256', '257', '258', '259', '260', '262', '263', '264', '265', '269', '270', '273', '275', '276', '278', '279', '280', '284', '285']
['261', '266', '267', '268', '271', '272', '274', '277', '281', '282', '283', '286', '287', '288', '289', '290', '291', '292', '293', '294', '295', '296', '297', '298', '299']
