['v10', 'y9', 'y8', 'c4', 'd8', 'd9', 'y1', 'd7', 'd4', 'y2']
['y5', 'd3', 'd1', 'q1', 'q3', 'q2', 'q5', 'q9', 'e10', 'c6']
['y7', 'q4', 'q7', 'q6', 'c5', 'c10', 'm10', 'g7', 'g6', 'g5']
['g4', 'j10', 'g2', 'r10', 'p3', 'g9', 'g8', 'p10', 'e8', 'o4']
['x4', 't8', 't9', 't6', 't7', 't4', 't5', 't2', 't3', 't1']
['l6', 'l7', 'l4', 'l5', 'l2', 'l3', 'l1', 'x10', 'l8', 'l9']
['n10', 'j8', 'j9', 'j4', 'j5', 'j6', 'j7', 'j2', 'b4', 'w6']
['j1', 'w10', 'w5', 'b7', 'w3', 'w2', 'b2', 'b3', 'b8', 'y3']
['w9', 'w8', 'd5', 'd2', 'l10', 'y4', 'a6', 't10', 'o9', 'o8']
['o7', 'o6', 'o5', 'y6', 'o3', 'o2', 's10', 'e9', 'q10', 'e5']
['o1', 'e4', 'e7', 'e6', 'e1', 'f10', 'e3', 'e2', 'r4', 'r5']
['r6', 'r7', 'r1', 'r2', 'r3', 'r8', 'r9', 'a2', 'q8', 'a5']
['x8', 'y10', 'a4', 'w1', 'h8', 'h9', 'a7', 'o10', 'h2', 'h3']
['h1', 'h6', 'h7', 'h4', 'h5', 'a9', 'a8', 'x1', 'a3', 'u9']
['k10', 'u8', 'n7', 'u5', 'u4', 'u7', 'u6', 'u1', 'u3', 'u2']
['m5', 'm4', 'm7', 'm6', 'm1', 'm3', 'm2', 'u10', 'm9', 'm8']
['c3', 'b9', 'c9', 'c8', 'x2', 'x3', 'c1', 'x6', 'x7', 'c2']
['j3', 'x5', 'p2', 'w7', 'p1', 'p6', 'p7', 'p4', 'h10', 'p9']
['p5', 'p8', 'b6', 'w4', 'c7', 'b1', 'f1', 'f2', 'f3', 'f4']
['f5', 'f6', 'f7', 'f8', 'f9', 'g3', 's9', 's8', 'd10', 'g1']
['s3', 's2', 's1', 's7', 's6', 's5', 's4', 'k3', 'k2', 'k1']
['k7', 'k6', 'k5', 'k4', 'b5', 'k9', 'k8', 'i9', 'i8', 'a10']
['i1', 'b10', 'i3', 'i2', 'i5', 'i4', 'i7', 'i6', 'a1', 'v1']
['v2', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8', 'v9', 'i10', 'n8']
['n9', 'x9', 'd6', 'n1', 'n2', 'n3', 'n4', 'n5', 'n6', 'g10']
